Minor Ruby | Gems | COMMON | /tbh-task-bar-hero/items/minor-ruby | /game/items/materials/Item_110001.png
Minor Sapphire | Gems | COMMON | /tbh-task-bar-hero/items/minor-sapphire | /game/items/materials/Item_110002.png
Minor Topaz | Gems | COMMON | /tbh-task-bar-hero/items/minor-topaz | /game/items/materials/Item_110003.png
Minor Emerald | Gems | COMMON | /tbh-task-bar-hero/items/minor-emerald | /game/items/materials/Item_110004.png
Minor Amethyst | Gems | COMMON | /tbh-task-bar-hero/items/minor-amethyst | /game/items/materials/Item_110005.png
Obsidian Shard | Gems | UNCOMMON | /tbh-task-bar-hero/items/obsidian-shard | /game/items/materials/Item_111001.png
Coral Piece | Gems | UNCOMMON | /tbh-task-bar-hero/items/coral-piece | /game/items/materials/Item_111002.png
Jade Stone | Gems | UNCOMMON | /tbh-task-bar-hero/items/jade-stone | /game/items/materials/Item_111003.png
Amber Gem | Gems | UNCOMMON | /tbh-task-bar-hero/items/amber-gem | /game/items/materials/Item_111004.png
Ruby | Gems | RARE | /tbh-task-bar-hero/items/ruby | /game/items/materials/Item_112001.png
Sapphire | Gems | RARE | /tbh-task-bar-hero/items/sapphire | /game/items/materials/Item_112002.png
Topaz | Gems | RARE | /tbh-task-bar-hero/items/topaz | /game/items/materials/Item_112003.png
Emerald | Gems | RARE | /tbh-task-bar-hero/items/emerald | /game/items/materials/Item_112004.png
Amethyst | Gems | RARE | /tbh-task-bar-hero/items/amethyst | /game/items/materials/Item_112005.png
Crystal Quartz | Gems | LEGENDARY | /tbh-task-bar-hero/items/crystal-quartz | /game/items/materials/Item_113001.png
Pearl | Gems | LEGENDARY | /tbh-task-bar-hero/items/pearl | /game/items/materials/Item_113002.png
Turquoise | Gems | LEGENDARY | /tbh-task-bar-hero/items/turquoise | /game/items/materials/Item_113003.png
Garnet | Gems | LEGENDARY | /tbh-task-bar-hero/items/garnet | /game/items/materials/Item_113004.png
Diamond | Gems | IMMORTAL | /tbh-task-bar-hero/items/diamond | /game/items/materials/Item_114001.png
Opal | Gems | IMMORTAL | /tbh-task-bar-hero/items/opal | /game/items/materials/Item_114002.png
Lapis Lazuli | Gems | IMMORTAL | /tbh-task-bar-hero/items/lapis-lazuli | /game/items/materials/Item_114003.png
Black Pearl | Gems | IMMORTAL | /tbh-task-bar-hero/items/black-pearl | /game/items/materials/Item_114004.png
Arcane Crystal | Gems | ARCANA | /tbh-task-bar-hero/items/arcane-crystal | /game/items/materials/Item_115001.png
Mystic Topaz | Gems | ARCANA | /tbh-task-bar-hero/items/mystic-topaz | /game/items/materials/Item_115002.png
Enchanted Ruby | Gems | ARCANA | /tbh-task-bar-hero/items/enchanted-ruby | /game/items/materials/Item_115003.png
Starlight Sapphire | Gems | ARCANA | /tbh-task-bar-hero/items/starlight-sapphire | /game/items/materials/Item_115004.png
Void Opal | Gems | BEYOND | /tbh-task-bar-hero/items/void-opal | /game/items/materials/Item_116001.png
Astral Diamond | Gems | BEYOND | /tbh-task-bar-hero/items/astral-diamond | /game/items/materials/Item_116002.png
Phantom Emerald | Gems | BEYOND | /tbh-task-bar-hero/items/phantom-emerald | /game/items/materials/Item_116003.png
Twilight Amethyst | Gems | BEYOND | /tbh-task-bar-hero/items/twilight-amethyst | /game/items/materials/Item_116004.png
Celestial Pearl | Gems | CELESTIAL | /tbh-task-bar-hero/items/celestial-pearl | /game/items/materials/Item_117001.png
Dragonite Crystal | Gems | CELESTIAL | /tbh-task-bar-hero/items/dragonite-crystal | /game/items/materials/Item_117002.png
Void Crystal | Gems | DIVINE | /tbh-task-bar-hero/items/void-crystal | /game/items/materials/Item_118001.png
Abyssal Pearl | Gems | DIVINE | /tbh-task-bar-hero/items/abyssal-pearl | /game/items/materials/Item_118002.png
